Mes;Día;Hora;P2.0TD,0m,d,h;P3.0TD,0m,d,h;P3.0TDVE,0m,d,h;Demanda de Referencia 2023 (MW)
1;1;1;0.000136360777;0.000085711738;0.000084068619;25,418
1;1;2;0.000116228879;0.000080661374;0.000066266495;23,582
1;1;3;0.000100471835;0.000078300332;0.000050127713;22,153
1;1;4;0.000090503079;0.000077150831;0.000046746103;21,272
1;1;5;0.000085456606;0.000076545244;0.000057721309;20,844
1;1;6;0.000084500832;0.000077344963;0.000043272038;20,793
1;1;7;0.000086498536;0.000080047531;0.000033077889;21,189
1;1;8;0.000091620637;0.000083030795;0.000035204804;21,937
1;1;9;0.000100600520;0.000078659208;0.000048011439;22,562
1;1;10;0.000124576433;0.000078860776;0.000070107077;24,336
1;1;11;0.000148895632;0.000084414391;0.000095739472;26,377
1;1;12;0.000159177645;0.000088564767;0.000132001837;27,314
1;1;13;0.000159358096;0.000092058819;0.000152117656;27,351
1;1;14;0.000165226497;0.000092265284;0.000176040697;27,687
1;1;15;0.000164584320;0.000088867421;0.000179878978;27,590
1;1;16;0.000148430341;0.000085051259;0.000162165572;26,336
1;1;17;0.000139510366;0.000082084273;0.000162058738;25,659
1;1;18;0.000140383616;0.000082061805;0.000149796628;25,813
1;1;19;0.000160605244;0.000095488626;0.000152054245;27,994
1;1;20;0.000178430044;0.000101691620;0.000178435345;29,785
1;1;21;0.000191401480;0.000100794621;0.000163877083;30,870
1;1;22;0.000194372456;0.000097006910;0.000141263520;30,961
1;1;23;0.000179242514;0.000090831732;0.000117359027;29,713
1;1;24;0.000151410651;0.000084361899;0.000087497679;27,319
1;2;1;0.000123253364;0.000079182362;0.000073048335;25,784
1;2;2;0.000101313531;0.000076445198;0.000056170985;23,929
1;2;3;0.000089333198;0.000075115092;0.000054433881;22,881
1;2;4;0.000083319683;0.000075005035;0.000041286971;22,434
1;2;5;0.000081379072;0.000075495566;0.000044145838;22,496
1;2;6;0.000084255712;0.000078787323;0.000036475963;23,341
1;2;7;0.000096517125;0.000091274656;0.000032224219;26,437
1;2;8;0.000123636538;0.000118656235;0.000051247392;31,084
1;2;9;0.000137085285;0.000156133432;0.000080566371;34,054
1;2;10;0.000143433403;0.000179039337;0.000130030502;35,351
1;2;11;0.000151652438;0.000187196497;0.000183280287;36,060
1;2;12;0.000151502459;0.000185710104;0.000200885565;35,964
1;2;13;0.000150662955;0.000182666446;0.000217030242;35,630
1;2;14;0.000158268409;0.000170528461;0.000165894790;35,570
1;2;15;0.000160902155;0.000149121054;0.000178179834;34,734
1;2;16;0.000153132490;0.000141535833;0.000186246780;34,004
1;2;17;0.000146836921;0.000141700181;0.000177793116;33,636
1;2;18;0.000149664387;0.000142425084;0.000177631785;33,740
1;2;19;0.000169446820;0.000149553625;0.000197456002;35,229
1;2;20;0.000192004412;0.000144329452;0.000218826875;36,704
1;2;21;0.000208165118;0.000128500095;0.000232193566;37,220
1;2;22;0.000209832104;0.000110907245;0.000179442438;36,250
1;2;23;0.000190022638;0.000096116297;0.000138372012;33,254
1;2;24;0.000155808074;0.000086744551;0.000113919686;29,989
1;3;1;0.000125441397;0.000087324578;0.000064064910;27,694
1;3;2;0.000102277207;0.000084111602;0.000043338642;25,688
1;3;3;0.000089982703;0.000082643989;0.000031961450;24,500
1;3;4;0.000084028281;0.000082235445;0.000027525979;23,999
1;3;5;0.000082163520;0.000082617577;0.000026403659;23,928
1;3;6;0.000085175910;0.000086199941;0.000025309469;24,610
1;3;7;0.000097953778;0.000099094206;0.000025632652;27,362
1;3;8;0.000126176485;0.000128066658;0.000036631629;31,910
1;3;9;0.000140328635;0.000168515592;0.000060865230;34,818
1;3;10;0.000145629189;0.000191990242;0.000103395813;36,028
1;3;11;0.000152927216;0.000200220540;0.000139983306;36,598
1;3;12;0.000151844942;0.000198898465;0.000153848495;36,425
1;3;13;0.000150646921;0.000195823290;0.000146119284;36,048
1;3;14;0.000158003903;0.000183056573;0.000161040180;35,875
1;3;15;0.000160169188;0.000160388111;0.000142158609;34,922
1;3;16;0.000153155874;0.000152252311;0.000150042498;34,257
1;3;17;0.000147831498;0.000152017154;0.000143197425;33,964
1;3;18;0.000151250300;0.000154028491;0.000151055364;34,139
1;3;19;0.000170957366;0.000161819425;0.000151169517;35,617
1;3;20;0.000192176144;0.000156221094;0.000162042353;36,951
1;3;21;0.000207498030;0.000140532852;0.000164489688;37,388
1;3;22;0.000209602999;0.000121349185;0.000144972376;36,438
1;3;23;0.000191935304;0.000105002504;0.000121148662;33,615
1;3;24;0.000158685050;0.000094189520;0.000093847924;30,313
1;4;1;0.000125441397;0.000087324578;0.000064064910;27,694
1;4;2;0.000102277207;0.000084111602;0.000043338642;25,688
1;4;3;0.000089982703;0.000082643989;0.000031961450;24,500
1;4;4;0.000084028281;0.000082235445;0.000027525979;23,999
1;4;5;0.000082163520;0.000082617577;0.000026403659;23,928
1;4;6;0.000085175910;0.000086199941;0.000025309469;24,610
1;4;7;0.000097953778;0.000099094206;0.000025632652;27,362
1;4;8;0.000126176485;0.000128066658;0.000036631629;31,910
1;4;9;0.000140328635;0.000168515592;0.000060865230;34,818
1;4;10;0.000145629189;0.000191990242;0.000103395813;36,028
1;4;11;0.000152927216;0.000200220540;0.000139983306;36,598
1;4;12;0.000151844942;0.000198898465;0.000153848495;36,425
1;4;13;0.000150646921;0.000195823290;0.000146119284;36,048
1;4;14;0.000158003903;0.000183056573;0.000161040180;35,875
1;4;15;0.000160169188;0.000160388111;0.000142158609;34,922
1;4;16;0.000153155874;0.000152252311;0.000150042498;34,257
1;4;17;0.000147831498;0.000152017154;0.000143197425;33,964
1;4;18;0.000151250300;0.000154028491;0.000151055364;34,139
1;4;19;0.000170957366;0.000161819425;0.000151169517;35,617
1;4;20;0.000192176144;0.000156221094;0.000162042353;36,951
1;4;21;0.000207498030;0.000140532852;0.000164489688;37,388
1;4;22;0.000209602999;0.000121349185;0.000144972376;36,438
1;4;23;0.000191935304;0.000105002504;0.000121148662;33,615
1;4;24;0.000158685050;0.000094189520;0.000093847924;30,313
1;5;1;0.000125441397;0.000087324578;0.000064064910;27,694
1;5;2;0.000102277207;0.000084111602;0.000043338642;25,688
1;5;3;0.000089982703;0.000082643989;0.000031961450;24,500
1;5;4;0.000084028281;0.000082235445;0.000027525979;23,999
1;5;5;0.000082163520;0.000082617577;0.000026403659;23,928
1;5;6;0.000085175910;0.000086199941;0.000025309469;24,610
1;5;7;0.000097953778;0.000099094206;0.000025632652;27,362
1;5;8;0.000126176485;0.000128066658;0.000036631629;31,910
1;5;9;0.000140328635;0.000168515592;0.000060865230;34,818
1;5;10;0.000145629189;0.000191990242;0.000103395813;36,028
1;5;11;0.000152927216;0.000200220540;0.000139983306;36,598
1;5;12;0.000151844942;0.000198898465;0.000153848495;36,425
1;5;13;0.000150646921;0.000195823290;0.000146119284;36,048
1;5;14;0.000158003903;0.000183056573;0.000161040180;35,875
1;5;15;0.000160169188;0.000160388111;0.000142158609;34,922
1;5;16;0.000153155874;0.000152252311;0.000150042498;34,257
1;5;17;0.000147831498;0.000152017154;0.000143197425;33,964
1;5;18;0.000151250300;0.000154028491;0.000151055364;34,139
1;5;19;0.000170957366;0.000161819425;0.000151169517;35,617
1;5;20;0.000192176144;0.000156221094;0.000162042353;36,951
1;5;21;0.000207498030;0.000140532852;0.000164489688;37,388
1;5;22;0.000209602999;0.000121349185;0.000144972376;36,438
1;5;23;0.000191935304;0.000105002504;0.000121148662;33,615
1;5;24;0.000158685050;0.000094189520;0.000093847924;30,313
1;6;1;0.000136360777;0.000085711738;0.000084068619;25,418
1;6;2;0.000116228879;0.000080661374;0.000066266495;23,582
1;6;3;0.000100471835;0.000078300332;0.000050127713;22,153
1;6;4;0.000090503079;0.000077150831;0.000046746103;21,272
1;6;5;0.000085456606;0.000076545244;0.000057721309;20,844
1;6;6;0.000084500832;0.000077344963;0.000043272038;20,793
1;6;7;0.000086498536;0.000080047531;0.000033077889;21,189
1;6;8;0.000091620637;0.000083030795;0.000035204804;21,937
1;6;9;0.000100600520;0.000078659208;0.000048011439;22,562
1;6;10;0.000124576433;0.000078860776;0.000070107077;24,336
1;6;11;0.000148895632;0.000084414391;0.000095739472;26,377
1;6;12;0.000159177645;0.000088564767;0.000132001837;27,314
1;6;13;0.000159358096;0.000092058819;0.000152117656;27,351
1;6;14;0.000165226497;0.000092265284;0.000176040697;27,687
1;6;15;0.000164584320;0.000088867421;0.000179878978;27,590
1;6;16;0.000148430341;0.000085051259;0.000162165572;26,336
1;6;17;0.000139510366;0.000082084273;0.000162058738;25,659
1;6;18;0.000140383616;0.000082061805;0.000149796628;25,813
1;6;19;0.000160605244;0.000095488626;0.000152054245;27,994
1;6;20;0.000178430044;0.000101691620;0.000178435345;29,785
1;6;21;0.000191401480;0.000100794621;0.000163877083;30,870
1;6;22;0.000194372456;0.000097006910;0.000141263520;30,961
1;6;23;0.000179242514;0.000090831732;0.000117359027;29,713
1;6;24;0.000151410651;0.000084361899;0.000087497679;27,319
1;7;1;0.000136796736;0.000090052167;0.000098875204;28,274
1;7;2;0.000112922137;0.000084352603;0.000057595351;26,120
1;7;3;0.000097538910;0.000082096728;0.000049941651;24,594
1;7;4;0.000089259117;0.000080973451;0.000035250456;23,765
1;7;5;0.000085688502;0.000080405215;0.000038080423;23,410
1;7;6;0.000086231203;0.000082205356;0.000046485128;23,329
1;7;7;0.000090206877;0.000086444214;0.000035818132;23,936
1;7;8;0.000099559553;0.000093962770;0.000029592896;25,428
1;7;9;0.000115720630;0.000097136502;0.000064543554;27,099
1;7;10;0.000143460308;0.000105867879;0.000097773715;29,660
1;7;11;0.000163567724;0.000118544439;0.000104993030;31,663
1;7;12;0.000166588641;0.000122708890;0.000152767938;31,979
1;7;13;0.000163253062;0.000123864097;0.000192136199;31,585
1;7;14;0.000170135011;0.000118172872;0.000216519938;31,539
1;7;15;0.000172086434;0.000107914284;0.000200306027;31,014
1;7;16;0.000159024556;0.000102753402;0.000190319292;29,856
1;7;17;0.000149282351;0.000100255149;0.000185698301;29,046
1;7;18;0.000147857275;0.000102615758;0.000153537276;28,973
1;7;19;0.000163241520;0.000117176842;0.000163691596;30,774
1;7;20;0.000175878467;0.000124621568;0.000164363877;32,081
1;7;21;0.000185212344;0.000124065072;0.000169272805;32,682
1;7;22;0.000191374603;0.000115462783;0.000160406540;32,579
1;7;23;0.000182892679;0.000106188547;0.000136955411;31,007
1;7;24;0.000161993070;0.000097651490;0.000099458624;28,825
1;8;1;0.000136360777;0.000085711738;0.000084068619;25,418
1;8;2;0.000116228879;0.000080661374;0.000066266495;23,582
1;8;3;0.000100471835;0.000078300332;0.000050127713;22,153
1;8;4;0.000090503079;0.000077150831;0.000046746103;21,272
1;8;5;0.000085456606;0.000076545244;0.000057721309;20,844
1;8;6;0.000084500832;0.000077344963;0.000043272038;20,793
1;8;7;0.000086498536;0.000080047531;0.000033077889;21,189
1;8;8;0.000091620637;0.000083030795;0.000035204804;21,937
1;8;9;0.000100600520;0.000078659208;0.000048011439;22,562
1;8;10;0.000124576433;0.000078860776;0.000070107077;24,336
1;8;11;0.000148895632;0.000084414391;0.000095739472;26,377
1;8;12;0.000159177645;0.000088564767;0.000132001837;27,314
1;8;13;0.000159358096;0.000092058819;0.000152117656;27,351
1;8;14;0.000165226497;0.000092265284;0.000176040697;27,687
1;8;15;0.000164584320;0.000088867421;0.000179878978;27,590
1;8;16;0.000148430341;0.000085051259;0.000162165572;26,336
1;8;17;0.000139510366;0.000082084273;0.000162058738;25,659
1;8;18;0.000140383616;0.000082061805;0.000149796628;25,813
1;8;19;0.000160605244;0.000095488626;0.000152054245;27,994
1;8;20;0.000178430044;0.000101691620;0.000178435345;29,785
1;8;21;0.000191401480;0.000100794621;0.000163877083;30,870
1;8;22;0.000194372456;0.000097006910;0.000141263520;30,961
1;8;23;0.000179242514;0.000090831732;0.000117359027;29,713
